Id Centro -5	CAP_NOMBRE     Provincia	Total
24069	Ventas del Carrizal	Jaén	1
24070	Santisteban del Puerto	Jaén	1
24071	Santo Tomé	Jaén	1
24072	Porche	Jaén	1
24073	Belerda	Jaén	1
24074	Quesada	Jaén	1
24075	Don Pedro	Jaén	1
24076	Toya	Jaén	1
24077	Pegalajar	Jaén	1
24078	Porcuna	Jaén	1
24079	Fontanar	Jaén	1
24080	Pozo Alcón	Jaén	1
24081	Peñolite	Jaén	1
24082	Puente Génave	Jaén	1
24083	Los Pascuales	Jaén	1
24084	La Puerta de Segura	Jaén	1
24085	Aldeahermosa	Jaén	1
24086	Montizón	Jaén	1
24087	Venta de los Santos	Jaén	1
24088	Navas de San Juan	Jaén	1
24089	La Hoya del Salobral	Jaén	1
24090	Noalejo 'Don Antonio Moreno Ortega'	Jaén	1
24091	Orcera	Jaén	1
24092	Hornos de Peal	Jaén	1
24093	Peal de Becerro	Jaén	1
24094	Lopera	Jaén	1
24095	Guadalimar	Jaén	1
24096	Lupión	Jaén	1
24097	Mancha Real	Jaén	1
24098	Sotogordo	Jaén	1
24099	Marmolejo	Jaén	1
24100	La Carrasca	Jaén	1
24101	Las Casillas de Martos	Jaén	1
24102	Martos	Jaén	1
24103	Monte Lope-Álvarez	Jaén	1
24104	Mengíbar	Jaén	1
24105	Virgen de la Capilla	Jaén	1
24106	San Felipe	Jaén	1
24107	Fuentezuelas	Jaén	1
24108	La Magdalena	Jaén	1
24109	El Valle	Jaén	1
24110	Federico Castillo	Jaén	1
24111	Jamilena	Jaén	1
24112	Jimena	Jaén	1
24113	Las Escuelas	Jaén	1
24114	Jódar 'Doctor Ricardo Fernández Valades'	Jaén	1
24115	Larva	Jaén	1
24116	Estación Linares-Baeza	Jaén	1
24117	Linares A 'Virgen de Linarejos'	Jaén	1
24118	Linares B 'Los Marqueses'	Jaén	1
24119	Linares C 'San José'	Jaén	1
24120	Pontones	Jaén	1
24121	Santiago-Pontones	Jaén	1
24122	Torrequebradilla	Jaén	1
24123	Vados de Torralba	Jaén	1
24124	Villargordo	Jaén	1
24125	Coto Rios	Jaén	1
24126	Villacarrillo	Jaén	1
24127	Quintería	Jaén	1
24128	Villanueva de la Reina	Jaén	1
24129	Villanueva del Arzobispo	Jaén	1
24130	Villardompardo	Jaén	1
24131	Los Villares	Jaén	1
24132	Onsares	Jaén	1
24133	Villarrodrigo	Jaén	1
24134	Cárchel	Jaén	1
24135	Carchelejo	Jaén	1
24136	Bedmar	Jaén	1
24137	Garcíez	Jaén	1
24138	Úbeda	Jaén	1
24139	Veracruz	Jaén	1
24140	Valdepeñas	Jaén	1
24141	Guadalén	Jaén	1
24142	Miraelrío	Jaén	1
24143	Vilches	Jaén	1
24144	Agrupación de Mogón	Jaén	1
24145	La Caleruela	Jaén	1
24146	Mogón	Jaén	1
24147	Torreblascopedro	Jaén	1
24148	Torredelcampo	Jaén	1
24149	Torredonjimeno	Jaén	1
24150	Torreperogil	Jaén	1
24151	Torres	Jaén	1
24152	Torres de Albánchez	Jaén	1
24153	El Donadio	Jaén	1
24154	Santa Eulalia	Jaén	1
24155	Solana de Torralba	Jaén	1
24156	Carrasco	Jaén	1
24157	Cortijos Nuevos	Jaén	1
24158	El Ojuelo	Jaén	1
24159	Rihornos	Jaén	1
24160	Robledo	Jaén	1
24161	Segura de la Sierra	Jaén	1
24162	Siles	Jaén	1
24163	Sorihuela del Guadalimar	Jaén	1
24164	Campillo del Rio	Jaén	1
24165	El Mármol	Jaén	1
24166	Rus	Jaén	1
24167	Sabiote	Jaén	1
24168	Santa Elena	Jaén	1
24169	Santiago de Calatrava	Jaén	1
24170	Los Noguerones	Jaén	1
24171	Sabariego	Jaén	1
24172	Aldeaquemada	Jaén	1
24173	Virgen de la Cabeza	Jaén	1
24174	Puerta de Madrid	Jaén	1
24175	Llanos de Sotillo	Jaén	1
24176	Ropera	Jaén	1
24177	Vegas de Triana	Jaén	1
24178	Los Villares de Andújar	Jaén	1
24179	Arjona	Jaén	1
24180	Mures	Jaén	1
24181	La Pedriza	Jaén	1
24182	La Rábita	Jaén	1
24183	Santa Ana	Jaén	1
24184	Alcaudete	Jaén	1
24185	La Bobadilla	Jaén	1
24186	Albánchez de Mágina	Jaén	1
24187	Alcalá la Real	Jaén	1
24188	Charilla	Jaén	1
24189	Ermita Nueva	Jaén	1
24190	Fuente Álamo	Jaén	1
24191	La Toba	Jaén	1
24192	La Matea	Jaén	1
24193	Miller	Jaén	1
24194	Paymogo	Huelva	1
24195	Minas de Herrerías	Huelva	1
24196	Puebla de Guzmán	Huelva	1
24197	Puerto Moral	Huelva	1
24198	Punta Umbría	Huelva	1
24199	Rociana del Condado	Huelva	1
24200	Rosal de la Frontera	Huelva	1
24201	San Bartolomé de la Torre	Huelva	1
24202	San Juan del Puerto	Huelva	1
24203	Sanlúcar  de Guadiana	Huelva	1
24204	La Dehesa	Huelva	1
24205	Mazagón	Huelva	1
24206	Moguer	Huelva	1
24207	La Nava	Huelva	1
24208	Nerva	Huelva	1
24209	Niebla	Huelva	1
24210	La Palma del Condado	Huelva	1
24211	Palos de la Frontera	Huelva	1
24212	Los Romeros	Huelva	1
24213	El Repilado	Huelva	1
24214	La Antilla	Huelva	1
24215	Lepe	Huelva	1
24216	Linares de la Sierra	Huelva	1
24217	Lucena del Puerto	Huelva	1
24218	Manzanilla	Huelva	1
24219	Los Marines	Huelva	1
24220	Minas de Riotinto	Huelva	1
24221	Higuera de la Sierra	Huelva	1
24222	Hinojales	Huelva	1
24223	Hinojos	Huelva	1
24224	Los Rosales	Huelva	1
24226	Huelva-Centro	Huelva	1
24227	El Torrejón	Huelva	1
24228	Molino de la Vega	Huelva	1
24229	La Orden	Huelva	1
24230	Adoratrices	Huelva	1
24231	Isla Cristina	Huelva	1
24232	La Redondela	Huelva	1
24233	Jabugo	Huelva	1
24234	Aljaraque	Huelva	1
24235	Beas	Huelva	1
24236	Candón	Huelva	1
24237	El Berrocal	Huelva	1
24238	Bollullos Par del Condado	Huelva	1
24239	Bonares	Huelva	1
24240	Pozo del Camino	Huelva	1
24241	Cabezas Rubias	Huelva	1
24242	Cala	Huelva	1
24243	Punta del Moral	Huelva	1
24245	Aroche	Huelva	1
24246	Las Cefiñas	Huelva	1
24247	Arroyomolinos de León	Huelva	1
24248	Ayamonte	Huelva	1
24249	Alosno	Huelva	1
24250	Tharsis	Huelva	1
24251	Aracena	Huelva	1
24252	El Patrás	Huelva	1
24253	Almonte	Huelva	1
24254	El Rocío	Huelva	1
24255	Matalascañas	Huelva	1
24256	Villarrasa	Huelva	1
24257	El Buitrón	Huelva	1
24258	Las Delgadas	Huelva	1
24259	Villanueva de las Cruces	Huelva	1
24260	Marigenta	Huelva	1
24261	El Membrillo	Huelva	1
24262	El Pozuelo	Huelva	1
24263	El Villar	Huelva	1
24264	Zalamea la Real	Huelva	1
24265	Villanueva de los Castillejos	Huelva	1
24266	Zufre	Huelva	1
24267	Santa Ana la Real	Huelva	1
24268	San Silvestre de Guzmán	Huelva	1
24269	Santa Bárbara de Casa	Huelva	1
24270	Santa Olalla de Cala	Huelva	1
24271	La Corte de Santa Ana	Huelva	1
24272	Trigueros	Huelva	1
24273	Valdelarco	Huelva	1
24274	Valverde del Camino	Huelva	1
24275	Villablanca	Huelva	1
24276	Villalba del Alcor	Huelva	1
24277	Paterna del Campo	Huelva	1
24278	Levante-Norte de Córdoba	Córdoba	1
24279	Centro de Córdoba	Córdoba	1
24282	Fuensanta	Córdoba	1
24283	Huerta de la Reina	Córdoba	1
24284	Barriada de los Ángeles	Córdoba	1
24285	Guadalquivir	Córdoba	1
24286	Sector Sur (Santa Victoria)	Córdoba	1
24287	Santa Cruz	Córdoba	1
24288	Previsión (Ciudad Jardín)	Córdoba	1
24290	La Marina (Figueroa)	Córdoba	1
24292	Occidente 'Azahara'	Córdoba	1
24293	Barriada el Naranjo	Córdoba	1
24294	Santa Rosa	Córdoba	1
24295	Levante Sur	Córdoba	1
24296	Encinarejo	Córdoba	1
24297	El Higuerón	Córdoba	1
24298	Conquista	Córdoba	1
24299	Alcolea	Córdoba	1
24300	Cerro Muriano	Córdoba	1
24301	El Carpio	Córdoba	1
24302	Maruanas	Córdoba	1
24303	Castro del Rio	Córdoba	1
24304	Cabra 'Matrona Antonia Mesa Fernández'	Córdoba	1
24305	Cañete de las Torres	Córdoba	1
24306	Carcabuey	Córdoba	1
24307	Azuel	Córdoba	1
24308	Cardeña	Córdoba	1
24309	Arrecife	Córdoba	1
24310	La Carlota	Córdoba	1
24311	Belmez	Córdoba	1
24312	Doña Rama	Córdoba	1
24313	El Hoyo	Córdoba	1
24314	Benamejí 'Francisco Nieto Lucena'	Córdoba	1
24315	Los Blázquez	Córdoba	1
24316	Navas del Selpillar	Córdoba	1
24317	Luque	Córdoba	1
24318	Montalbán de Córdoba (Dª Natividad Cabrera Sillero)	Córdoba	1
24319	Montemayor	Córdoba	1
24320	Jauja	Córdoba	1
24321	Lucena	Córdoba	1
24322	El Higueral	Córdoba	1
24323	Iznájar	Córdoba	1
24324	Hornachuelos	Córdoba	1
24325	El Cañuelo	Córdoba	1
24326	Fuente-Tójar	Córdoba	1
24327	La Granjuela	Córdoba	1
24328	Guadalcázar	Córdoba	1
24329	Guijo	Córdoba	1
24330	Cañada del Rabadán	Córdoba	1
24331	Fuente Carretero	Córdoba	1
24332	Fuente Palmera	Córdoba	1
24333	Ochavillo del Rio	Córdoba	1
24334	Los Morenos	Córdoba	1
24335	Navalcuervo	Córdoba	1
24336	Ojuelos Altos	Córdoba	1
24337	Ojuelos Bajos	Córdoba	1
24338	Los Pánchez	Córdoba	1
24339	Piconcillo	Córdoba	1
24340	El Porvenir de la Industria	Córdoba	1
24341	Posadilla	Córdoba	1
24342	Valsequillo	Córdoba	1
24343	La Victoria	Córdoba	1
24344	Villa del Rio	Córdoba	1
24345	Villafranca de Córdoba	Córdoba	1
24346	Villaharta	Córdoba	1
24347	Rute	Córdoba	1
24348	Zambra	Córdoba	1
24349	San Sebastián de los Ballesteros	Córdoba	1
24350	La Guijarrosa	Córdoba	1
24351	La Montiela	Córdoba	1
24352	Santaella	Córdoba	1
24353	Puente Genil 'José Gallego Arroba'	Córdoba	1
24354	La Rambla	Córdoba	1
24355	Las Lagunillas	Córdoba	1
24356	Priego de Córdoba	Córdoba	1
24357	Zamoranos	Córdoba	1
24358	Zagrilla	Córdoba	1
24359	Castil de Campo	Córdoba	1
24360	La Concepción	Córdoba	1
24361	Pedro Abad	Córdoba	1
24362	Pedroche	Córdoba	1
24363	Peñarroya	Córdoba	1
24364	El Esparragal	Córdoba	1
24365	Posadas 'D. Rafael Florez Crespo'	Córdoba	1
24366	Pozoblanco	Córdoba	1
24367	Palma del Rio 'Dr. Trujillo del Rio'	Córdoba	1
24368	Obejo	Córdoba	1
24369	Montoro	Córdoba	1
24370	Monturque	Córdoba	1
24371	Moriles	Córdoba	1
24372	Nueva Carteya	Córdoba	1
24373	Palenciana	Córdoba	1
24374	Montilla	Córdoba	1
24375	Villarrubia	Córdoba	1
24376	Doña Mencía	Córdoba	1
24377	Dos Torres	Córdoba	1
24378	Encinas Reales	Córdoba	1
24379	Espejo	Córdoba	1
24380	Espiel	Córdoba	1
24381	Fernán Núñez 'Dª Josefina Carmona'	Córdoba	1
24382	Fuente la Lancha	Córdoba	1
24383	El Alcornocal	Córdoba	1
24384	Argallón	Córdoba	1
24385	Cañada del Gamo	Córdoba	1
24386	La Cardenchosa	Córdoba	1
24387	La Coronada	Córdoba	1
24388	Cuenca	Córdoba	1
24389	Fuente Obejuna	Córdoba	1
24390	Villaralto	Córdoba	1
24391	El Vacar	Córdoba	1
24392	Villaviciosa de Córdoba	Córdoba	1
24393	El Viso	Córdoba	1
24394	Zuheros	Córdoba	1
24395	Villanueva de Córdoba	Córdoba	1
24396	Villanueva del Duque	Córdoba	1
24397	Villanueva del Rey	Córdoba	1
24398	Santa Eufemia	Córdoba	1
24399	Torrecampo	Córdoba	1
24400	Valenzuela	Córdoba	1
24401	Los Mochos	Córdoba	1
24402	Añora	Córdoba	1
24403	Albendín	Córdoba	1
24404	Baena 'Dr. Ignacio Osuna Gómez'	Córdoba	1
24405	Belalcázar	Córdoba	1
24406	Alcaracejos	Córdoba	1
24407	Adamuz	Córdoba	1
24408	Algallarín	Córdoba	1
24409	Aguilar	Córdoba	1
24410	Jatar	Granada	1
24411	Pantano los Bermejales	Granada	1
24412	Armilla	Granada	1
24413	Atarfe	Granada	1
24414	El Baúl	Granada	1
24415	Baza	Granada	1
24416	Cuevas de Baza	Granada	1
24417	Buenavista	Granada	1
24418	Ventas de Zafarraya	Granada	1
24419	Alhendín	Granada	1
24420	Alicún Ortega	Granada	1
24421	Almegíjar	Granada	1
24422	Notáez	Granada	1
24423	Almuñécar	Granada	1
24424	Los Marinos	Granada	1
