15 04 2010 11:59:12 Consulta de municipio de Centros Sanitarios, realizada a la web del SAS el 15 04 2010 11:59:40
Datos provenientes del archivo: centros-SAS-consultar.txt
__Id Centro__Municipio_
Id;no encontrado!
24343;Victoria, La
24344;Villa del Río
24345;Villafranca de Córdoba
24346;Villaharta
24347;Rute
24348;Rute
24349;San Sebastián de los Ballesteros
24350;Santaella
24351;Santaella
24352;Santaella
24353;Puente Genil
24354;Rambla, La
24355;Priego de Córdoba
24356;Priego de Córdoba
24357;Priego de Córdoba
24358;Priego de Córdoba
24359;Priego de Córdoba
24360;Priego de Córdoba
24361;Pedro Abad
24362;Pedroche
24363;Peñarroya-Pueblonuevo
24364;Priego de Córdoba
24365;Posadas
24366;Pozoblanco
24367;Palma del Río
24368;Obejo
24369;Montoro
24370;Monturque
24371;Moriles
24372;Nueva Carteya
24373;Palenciana
24374;Montilla
24375;Córdoba
24376;Doña Mencía
24377;Dos Torres
24378;Encinas Reales
24379;Espejo
24380;Espiel
24381;Fernán Núñez
24382;Fuente la Lancha
24383;Fuente Obejuna
24384;Fuente Obejuna
24385;Fuente Obejuna
24386;Fuente Obejuna
24387;Fuente Obejuna
24388;Fuente Obejuna
24389;Fuente Obejuna
24390;Villaralto
24391;Villaviciosa de Córdoba
24392;Villaviciosa de Córdoba
24393;Viso, El
24394;Zuheros
24395;Villanueva de Córdoba
24396;Villanueva del Duque
24397;Villanueva del Rey
24398;Santa Eufemia
24399;Torrecampo
24400;Valenzuela
24401;Almodóvar del Río
24402;Añora
24403;Baena
24404;Baena
24405;Belalcázar
24406;Alcaracejos
24407;Adamuz
24408;Adamuz
24409;Aguilar de la Frontera
24410;Arenas del Rey
24411;Alhama de Granada
24412;Armilla
24413;Atarfe
24414;Baza
24415;Baza
24416;Baza
24417;Alhama de Granada
24418;Alhama de Granada
24419;Alhendín
24420;Alicún de Ortega
24421;Almegíjar
24422;Almegíjar
24423;Almuñécar
24424;Almuñécar
24425;Almuñécar
24426;Almuñécar
24427;Gabias, Las
24428;Gabias, Las
24429;Tahá de Pitres, La
24430;Valle, El
24431;Jerez de la Frontera
24432;Jerez de la Frontera
24433;Jerez de la Frontera
24434;Chipiona
24435;Espera
24436;Gastor, El
24437;Grazalema
24438;Grazalema
24439;Jerez de la Frontera
24440;Jerez de la Frontera
24441;Castellar de la Frontera
24442;Conil de la Frontera
24443;Conil de la Frontera
24444;Chiclana de la Frontera
24445;Chiclana de la Frontera
24446;Barbate
24447;Barrios, Los
24448;Barrios, Los
24449;Barrios, Los
24450;Benaocaz
24451;Bornos
24452;Bornos
24453;Bosque, El
24454;Cádiz
24455;Cádiz
24456;Cádiz
24457;Cádiz
24458;Cádiz
24459;Cádiz
24460;Cádiz
24463;Castellar de la Frontera
24464;Arcos de la Frontera
24465;Barbate
24466;Alcalá de los Gazules
24467;Alcalá del Valle
24468;Algar
24469;Algeciras
24470;Algeciras
24471;Algeciras
24472;Algeciras
24473;Algeciras
24474;Algeciras
24475;Algeciras
24476;Algeciras
24477;Algodonales
24478;Algodonales
24479;Arcos de la Frontera
24480;Arcos de la Frontera
24481;Bujalance
24482;Almedinilla
24483;Almodóvar del Río
24484;Puerto Real
24485;Puerto Real
24486;Puerto Real
24487;Medina-Sidonia
24488;Olvera
24489;Paterna de Rivera
24490;Prado del Rey
24492;Puerto de Santa María, El
24493;Puerto de Santa María, El
24494;Jerez de la Frontera
24495;Jerez de la Frontera
24496;Jerez de la Frontera
24497;Jerez de la Frontera
24498;Jimena de la Frontera
24499;Jimena de la Frontera
24500;Jimena de la Frontera
24501;Línea de la Concepción, La
24502;Línea de la Concepción, La
24503;Línea de la Concepción, La
24504;Jerez de la Frontera
24505;Jerez de la Frontera
24506;Jerez de la Frontera
24507;Jerez de la Frontera
24508;Jerez de la Frontera
24509;Jerez de la Frontera
24510;Jerez de la Frontera
24511;Jerez de la Frontera
24512;Jerez de la Frontera
24514;Jerez de la Frontera
24515;Jerez de la Frontera
24516;Vícar
24517;Benalup
24518;Zahara de la Sierra
24519;San José del Valle
24520;Mojonera, La
24521;Vejer de la Frontera
24522;Villaluenga del Rosario
24523;Villamartín
24524;Tarifa
24525;Tarifa
24526;Tarifa
24527;Torre-Alháquime
24528;Trebujena
24529;Ubrique
24530;San Roque
24531;San Roque
24532;San Roque
24533;San Roque
24534;Setenil
24535;Tarifa
24536;Sanlúcar de Barrameda
24537;Sanlúcar de Barrameda
24538;Sanlúcar de Barrameda
24539;San Roque
24540;San Roque
24541;San Roque
24542;San Roque
24543;San Roque
24544;Puerto Serrano
24545;Rota
24546;San Fernando
24547;San Fernando
24548;San Fernando
24549;Sanlúcar de Barrameda
24550;Sanlúcar de Barrameda
24551;Tahal
24552;Terque
24553;Tíjola
24554;Tíjola
24555;Tahal
24556;Turre
24557;Turrillas
24558;Uleila del Campo
24559;Fines
24560;Velefique
24561;Vélez Blanco
24562;Vélez Blanco
24563;Vélez Rubio
24564;Vera
24565;Viator
24566;Vícar
24567;Vícar
24568;Vícar
24569;Vícar
24570;Vícar
24571;Zurgena
24572;Zurgena
24573;Tres Villas, Las
24574;Tres Villas, Las
24575;Tres Villas, Las
24576;Ejido, El
24577;Ejido, El
24578;Ejido, El
24579;Ejido, El
24580;Ejido, El
24581;Ejido, El
24582;Ejido, El
24583;Ejido, El
24584;Ejido, El
24585;Pulpí
24586;Pulpí
24587;Pulpí
24588;Pulpí
24589;Purchena
24590;Purchena
24591;Rágol
24592;Rioja
24593;Rioja
24594;Roquetas de Mar
24595;Roquetas de Mar
24596;Roquetas de Mar
24597;Roquetas de Mar
24598;Roquetas de Mar
24599;Roquetas de Mar
24600;Santa Cruz
24601;Santa Fe de Mondújar
24602;Senés
24603;Serón
24604;Sierro
24605;Somontín
24606;Sorbas
24607;Sorbas
24608;Sorbas
24609;Sorbas
24610;Sorbas
24611;Suflí
24612;Tabernas
24613;Taberno
24614;Níjar
24615;Níjar
24616;Níjar
24617;Níjar
24618;Níjar
24619;Níjar
24620;Níjar
24621;Níjar
24622;Níjar
24623;Níjar
24624;Níjar
24625;Níjar
24626;Ohanes
24627;Olula de Castro
24628;Olula del Río
24629;Oria
24630;Padules
24631;Partaloa
24632;Paterna del Río
24633;Pechina
24634;Pechina
24635;Pulpí
24636;Pulpí
24637;Huércal-Overa
24638;Huércal-Overa
24639;Huércal-Overa
24640;Illar
24641;Instinción
24642;Macael
24643;Laujar de Andarax
24644;Líjar
24645;Lubrín
24646;Lucainena de las Torres
24647;Lucainena de las Torres
24648;Lúcar
24649;Lúcar
24650;Macael
24651;María
24652;Mojácar
24653;Nacimiento
24654;Níjar
24655;Níjar
24656;Níjar
24657;Níjar
24658;Cuevas del Almanzora
24659;Cuevas del Almanzora
24660;Cuevas del Almanzora
24661;Cuevas del Almanzora
24662;Cuevas del Almanzora
24663;Cuevas del Almanzora
24664;Chercos
24665;Vélez Rubio
24666;Chirivel
24667;Dalías
24668;Enix
24669;Felix
24670;Fines
24671;Fiñana
24672;Fondón
24673;Fondón
24674;Fondón
24675;Gádor
24676;Gallardos, Los
24677;Garrucha
24678;Gérgal
24679;Gérgal
24680;Gérgal
24681;Huécija
24682;Huércal de Almería
24683;Huércal de Almería
24684;Huércal-Overa
24685;Huércal-Overa
24686;Bacares
24687;Bayárcal
24688;Bayarque
24689;Castaño del Robledo
24691;Almonaster la Real
24692;Jerez del Marquesado
24693;Granada
24694;Puerto de Santa María, El
24695;Vera
24696;Beires
24697;Benahadux
24698;Benahadux
24699;Benitagla
24700;Benizalón
24701;Benizalón
24702;Bentarique
24703;Berja
24704;Berja
24705;Canjáyar
24706;Cantoria
24707;Cantoria
24708;Carboneras
24709;Carboneras
24710;Carboneras
24711;Carboneras
24712;Carboneras
24713;Castro de Filabres
24714;Armuña de Almanzora
24715;Cóbdar
24716;Adra
24717;Abla
24718;Abrucena
24719;Alboloduy
24720;Albox
24721;Albox
24722;Alcolea
24723;Alcóntar
24724;Alcóntar
24725;Alcudia de Monteagud
24726;Alhabia
24727;Alhama de Almería
24728;Alicún
24729;Almería
24730;Almería
24731;Almería
24732;Almería
24733;Almería
24734;Almería
24735;Almería
24736;Almería
24737;Almería
24738;Almería
24739;Almería
24742;Almería
24743;Almería
24744;Almería
24745;Almería
24746;Almería
24747;Almería
24748;Almería
24749;Níjar
24750;Níjar
24751;Almócita
24752;Alsodux
24753;Antas
24754;Antas
24755;Arboleas
24756;Adra
24757;Aljaraque
24758;Almendro, El
24759;Almonaster la Real
24760;Almonaster la Real
24761;Almonaster la Real
24762;Alájar
24763;Escacena del Campo
24764;Fuenteheridos
24765;Galaroza
24766;Gibraleón
24767;Granada de Riotinto, La
24768;Granado, El
24769;Chucena
24770;Corteconcepción
24771;Encinasola
24772;Cortegana
24773;Cortegana
24774;Cortegana
24775;Cortelazor
24776;Cumbres de En medio
24777;Cumbres de San Bartolomé
24778;Cumbres Mayores
24779;Cerro del Andévalo, El
24780;Calañas
24781;Calañas
24782;Cerro del Andévalo, El
24783;Calañas
24784;Calañas
24785;Campillo, El
24786;Campillo, El
24787;Campofrío
24788;Cañaveral de León
24789;Cartaya
24790;Cartaya
24791;Adra
24792;Albanchez
24793;Adra
24794;Aljaraque
24795;Valle, El
24796;Valle, El
24797;Nevada
24798;Nevada
24799;Nevada
24800;Alpujarra de la Sierra
24801;Alpujarra de la Sierra
24802;Zújar
24803;Tahá de Pitres, La
24804;Tahá de Pitres, La
24805;Ventas de Huelma
24806;Villanueva de las Torres
24807;Villanueva Mesía
24808;Víznar
24809;Alhama de Granada
24810;Zafarraya
24811;Zubia, La
24812;Ventas de Huelma
24813;Turón
24814;Ugíjar
24815;Ugíjar
24816;Ugíjar
24817;Válor
24818;Válor
24819;Válor
24820;Vélez de Benaudalla
24821;Torvizcón
24822;Trevélez
24823;Salobreña
24824;Santa Cruz del Comercio
24825;Santa Cruz del Comercio
24826;Santa Fé
24827;Santa Fé
24828;Santa Fé
24829;Soportújar
24830;Sorvilán
24831;Sorvilán
24832;Torre-Cardela
24833;Rubite
24834;Salar
24835;Salobreña
24836;Salobreña
24837;Purrullena
24838;Purrullena
24839;Quéntar
24840;Quéntar
24841;Alhama de Granada
24842;Albuñol
24843;Albuñuelas
24844;Aldeire
24845;Alfacar
24846;Algarinejo
24847;Algarinejo
24848;Algarinejo
24849;Albuñol
24850;Albuñol
24851;Albolote
24852;Albondón
24853;Albuñán
24854;Albuñol
24855;Agrón
24856;Alamedilla
24857;Albolote
24858;Cazalilla
24859;Cazorla
24860;Cabra de Santo Cristo
24861;Cambil
24862;Cambil
24863;Campillo de Arenas
24864;Canena
24865;Carboneros
24866;Carolina, La
24867;Baños de la Encina
24868;Arroyo del Ojanco
24869;Beas de Segura
24870;Beas de Segura
24871;Beas de Segura
24872;Begíjar
24873;Bélmez de la Moraleda
24874;Benatae
24875;Arjonilla
24876;Arquillos
24877;Arquillos
24878;Baeza
24879;Baeza
24880;Baeza
24881;Bailén
24882;Moclinejo
24883;Mollina
24884;Monda
24885;Montejaque
24886;Nerja
24887;Nerja
24888;Ojén
24889;Parauta
24890;Marbella
24891;Marbella
24892;Mijas
24893;Mijas
24894;Mijas
24895;Málaga
24896;Málaga
24897;Málaga
24898;Málaga
24899;Málaga
24900;Málaga
24901;Málaga
24902;Málaga
24903;Málaga
24904;Málaga
24905;Málaga
24906;Málaga
24907;Málaga
24908;Málaga
24910;Málaga
24911;Málaga
24912;Málaga
24913;Málaga
24914;Málaga
24915;Málaga
24916;Málaga
24917;Málaga
24918;Manilva
24919;Manilva
24920;Marbella
24921;Marbella
24922;Marbella
24923;Alhaurín el Grande
24924;Alfarnate
24925;Alfarnatejo
24926;Algarrobo
24927;Algarrobo
24928;Algatocín
24929;Alhaurín de la Torre
24930;Alameda
24931;Alcaucín
24932;Villanueva del Trabuco
24933;Villanueva de Tapia
24934;Viñuela
24935;Viñuela
24936;Yunquera
24937;Torremolinos
24938;Torremolinos
24939;Vélez-Málaga
24940;Vélez-Málaga
24941;Vélez-Málaga
24942;Vélez-Málaga
24943;Vélez-Málaga
24944;Villanueva de Algaidas
24945;Villanueva del Rosario
24946;Torrox
24947;Totalán
24948;Valle de Abdalajís
24949;Vélez-Málaga
24950;Vélez-Málaga
24951;Vélez-Málaga
24952;Vélez-Málaga
24953;Sayalonga
24954;Sayalonga
24955;Sedella
24956;Sierra de Yeguas
24957;Sierra de Yeguas
24958;Teba
24959;Tolox
24960;Torrox
24961;Pújerra
24962;Rincón de la Victoria
24963;Rincón de la Victoria
24964;Rincón de la Victoria
24965;Riogordo
24966;Ronda
24967;Ronda
24968;Ronda
24969;Ronda
24970;Salares
24971;Alcolea del Río
24972;Algaba, La
24973;Navas de la Concepción, Las
24974;Olivares
24975;Osuna
24976;Osuna
24977;Palacios y Villafranca, Los
24978;Palacios y Villafranca, Los
24979;Palacios y Villafranca, Los
24980;Palomares del Río
24981;Villaverde del Río
24982;Viso del Alcor, El
24983;Cañada del Rosal
24984;Villafranco del Guadalquivir
24985;Cuervo, El
24986;Valencina de la Concepción
24987;Villamanrique de la Condesa
24988;Villanueva del Ariscal
24989;Villanueva del Río y Minas
24990;Villanueva del Río y Minas
24991;Villanueva de San Juan
24992;Utrera
24993;Utrera
24994;Utrera
24995;Utrera
24996;Utrera
24997;Utrera
24998;San Nicolás del Puerto
24999;San Nicolás del Puerto
25000;Santiponce
25001;Saucejo, El
25002;Sevilla
25003;Sevilla
25004;Sevilla
25006;Sevilla
25007;Sevilla
25008;Sevilla
25009;Sevilla
25010;Sevilla
